"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"불가리아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2","39",NA,NA,NA,NA
"에스토니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.8","40",NA,NA,NA,NA
"덴마크(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.7","41",NA,NA,NA,NA
"오스트레일리아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.6","42",NA,NA,NA,NA
"오스트리아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","43",NA,NA,NA,NA
"룩셈부르크(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","44",NA,NA,NA,NA
"러시아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.2","45",NA,NA,NA,NA
"카자흐스탄(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","46",NA,NA,NA,NA
"폴란드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","47",NA,NA,NA,NA
"루마니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","48",NA,NA,NA,NA
"네덜란드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","49",NA,NA,NA,NA
"스위스(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","50",NA,NA,NA,NA
"뉴질랜드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.7","51",NA,NA,NA,NA
"파라과이(HS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","52",NA,NA,NA,NA
"몰타(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","53",NA,NA,NA,NA
"방글라데시(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4","54",NA,NA,NA,NA
"미국(LFS, 16+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4","55",NA,NA,NA,NA
"영국(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.3","56",NA,NA,NA,NA
"인도네시아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","57",NA,NA,NA,NA
"이스라엘(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","58",NA,NA,NA,NA
"스리랑카(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","59",NA,NA,NA,NA
"헝가리(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","60",NA,NA,NA,NA
"노르웨이(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","61",NA,NA,NA,NA
"몰도바(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.1","62",NA,NA,NA,NA
"에콰도르(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8","63",NA,NA,NA,NA
"독일(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8","64",NA,NA,NA,NA
"대만(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.76","65",NA,NA,NA,NA
"한국(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.7","66",NA,NA,NA,NA
"세이셸(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.7","67",NA,NA,NA,NA
"말레이시아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.4","68",NA,NA,NA,NA
"멕시코(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.4","69",NA,NA,NA,NA
"볼리비아(HIES, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2","70",NA,NA,NA,NA
"홍콩(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1","71",NA,NA,NA,NA
"체코(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9","72",NA,NA,NA,NA
"일본(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.8","73",NA,NA,NA,NA
"아이슬란드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.7","74",NA,NA,NA,NA
"필리핀(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.6","75",NA,NA,NA,NA
"아랍에미리트(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5","76",NA,NA,NA,NA
"마카오(LFS, 16+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","77",NA,NA,NA,NA
"싱가포르(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.9","78",NA,NA,NA,NA
"베트남(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.9","79",NA,NA,NA,NA
"미얀마(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6","80",NA,NA,NA,NA
"유로지역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2조 4,806억 2,290만 3천","1","2조 2,148억 6,103만 7천","2"
